"","Calendar.Month","CDD","HDD"
"1",1,422.156666666667,38.447
"2",2,372.852619047619,22.6771666666667
"3",3,362.792666666667,51.0317142857143
"4",4,237.456,145.442333333333
"5",5,132.04,240.922333333333
"6",6,50.6979166666667,262.026785714286
"7",7,31.0265277777778,276.737083333333
"8",8,47.5945833333333,294.922777777778
"9",9,101.910416666667,256.965952380952
"10",10,161.915833333333,197.9575
"11",11,240.647916666667,139.846488095238
"12",12,414.583333333333,59.4546428571429
